SMILES,id,QM,Reserve1,NMR,Reserve2 
c12c([C](N=C[N]1)N)cn[nH]2,7,-0.813076389,0,0.851960813,0 
OCCN(CC)CC,5,1.314446284,0,-1.371169515,0 
C=CC[N]C=S,4,-0.72911372,0,0.842563412,0 
S1CC1,1,1.23663151,0,-1.245502306,0 
CC(C)(C)C#C,5,0.356604381,0,-0.364357736,0 
c1c(nc[nH]1)CCN,5,0.988959204,0,-1.029914864,0 
C(#N)C,2,1.585304934,0,-1.558749016,0 
c12c([nH]cn2)[N]C=N[CH]1,0,-1.151386219,0,1.257523171,0 
c1[nH]c(c(n1)C#N)N,2,-1.124511139,0,1.136831056,0 
C1CCC1,1,-0.961504118,0,0.938011527,0 
C(=C(\C)/C(C)C)\C,6,1.347820567,0,-1.346662567,0 
c1ccccc1Cl,2,-0.782161264,0,0.800182974,0 
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,1,0.202731374,0,-0.169407725,0 
c1(ccn(n1)C)N,0,-1.231835805,0,1.25475923,0 
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,3,1.176557802,0,-1.122046249,0 
C(CCCC)Cl,4,1.340794402,0,-1.332842859,0 
C=C(C)Cl,2,1.11420059,0,-1.110069169,0 
C(=C(\C)/C(C)C)\C,1,-1.051965989,0,1.020745511,0 
c1ccccn1,1,-0.669040012,0,0.686492845,0 
C=CC[N]C=S,2,0.744799981,0,-0.721827512,0 
CCC#N,1,1.3641564,0,-1.39475515,0 
c12c(cccc1)cc[nH]2,5,-0.432433916,0,0.457085695,0 
C1CCN(CC1)C,6,0.91114443,0,-0.726802606,0 
C(C)SCC,4,1.364332054,0,-1.317364786,0 
c1ccc(s1)C,3,-1.079543685,0,0.980391964,0 
C(=S)=NC,3,1.109984891,0,-1.028440762,0 
C1CC(=C)C1,1,0.993174903,0,-0.998958719,0 
C=CCCl,2,0.663647778,0,-0.755916124,0 
C(C)(C)Cl,1,1.113849282,0,-1.085193695,0 
c12c([nH]cn2)[N]C=N[CH]1,1,-0.824142598,0,0.811054478,0 
C[C@@H](C#N)Cl,2,-0.670269591,0,0.582384379,0 
CC(C)(C)NCCO,5,0.803292802,0,-0.777474868,0 
c12c(c(=N)n(cn1)C)nc[nH]2,5,-1.116255396,0,1.189530209,0 
C=CC[N]C=S,1,-0.896160786,0,0.812712843,0 
C1=CC(=O)C=CC1=O,2,-1.852597457,0,1.85932538,0 
C1CCOCC1,0,1.145467023,0,-1.147843037,0 
C1CCC1,0,1.023563066,0,-1.03360012,0 
c1[nH]c(c(n1)C#N)N,3,-0.168777085,0,0.064421731,0 
c1c(cccc1)N(C)C,5,-0.759150574,0,0.786916055,0 
C=C(Cl)C,0,-0.476523099,0,0.485277899,0 
C=C(C)Cl,1,-1.119768478,0,0.963071264,0 
C(=O)(Cl)C,3,0.973150334,0,-0.96910815,0 
C1OCCC1,0,0.361522696,0,-0.337086846,0 
C1CCN(CC1)C,2,0.637124007,0,-0.547330668,0 
C(=O)(C)C#C,3,0.11086427,0,-0.080961595,0 
C1COC1,0,1.196231063,0,-1.168111942,0 
C(=O)(C)C#C,2,0.969285943,0,-0.996747565,0 
C(CCCC)Cl,0,0.684374964,0,-0.759048591,0 
c1c(cccc1)C,5,-0.747733057,0,0.79060131,0 
C(=O)/C=C/C,4,1.226443571,0,-1.247160671,0 
c1cccc(n1)Cl,0,-1.147521829,0,1.169629829,0 
c1cccn1C,0,-0.619681205,0,0.650561604,0 
c1scc(C)n1,0,-1.248522946,0,1.213300106,0 
OCCNCCCC,6,1.180949155,0,-1.211782219,0 
C(=CCBr)(C)C,2,0.870217021,0,-1.045392937,0 
N(C)(C)C(CO)(C)C,3,0.550350873,0,-0.539038843,0 
c1ccc(cc1)Cl,0,-0.723492789,0,0.739007734,0 
c1cccc(n1)Br,1,-0.747381749,0,0.771806508,0 
c1c(nccn1)C,3,-1.051087718,0,1.061467583,0 
c12c([N]C=N[C]1N)[nH]cn2,5,-1.191259704,0,1.291058995,0 
C1CCC(C1)Br,2,0.876364915,0,-0.891533523,0 
CCN(=O)=O,0,1.400692456,0,-1.361587851,0 
C1CCN(C1)C,5,0.86547436,0,-0.799586401,0 
C[C@@H](C#N)Cl,0,0.759027964,0,-0.893007625,0 
C(=O)(Cl)C,0,-1.657972694,0,1.547921298,0 
C1C(=O)O[C]1[CH2],5,0.038670428,0,0.014117995,0 
[CH]1N[N]C(=N1)N,0,-1.001377603,0,1.128354969,0 
C(C)(Cl)(Cl)Cl,0,-0.599129673,0,0.16410789,0 
[C@H]12[C@@H]3C[C@@H]4[C@H]1[C@@H]4[C@H]23,2,0.995985369,0,-1.000801346,0 
CC(C)(C)N(=O)=O,1,0.011268386,0,-0.020154881,0 
C1CC=CC1,0,1.138616513,0,-1.16663784,0 
c1ccc(c(c1)N)Br,4,-1.060748694,0,1.063494474,0 
c1(c(nc[nH]1)C#N)C#N,3,-0.971165094,0,1.021482562,0 
C(=O)(C)C,0,-2.23025381,0,2.202054134,0 
c1c(cccc1)C,6,1.215026054,0,-1.195751358,0 
c1ccc(c(c1)N)Br,5,-0.496723323,0,0.54184657,0 
C=CCCl,0,-0.603521026,0,0.58975489,0 
[SiH](C)(C)Cl,2,1.564577748,0,-1.566672315,0 
[C@H]1([C@@H]([C@H]2CCCN2[C@@H]1CO)O)O,2,0.378385491,0,-0.30207692,0 
C(=CC)(C)C,2,1.376276534,0,-1.343161574,0 
CC(C)(C)C=O,4,-2.235699087,0,2.202606922,0 
C=C(C=C)C,4,1.269303176,0,-1.261164641,0 
C1CCN(C1)C,1,1.204311153,0,-1.136787271,0 
C1CCOCC1,1,1.088379435,0,-1.090721578,0 
C1=CC(=O)C=CC1=O,0,-0.91038877,0,0.92695576,0 
c1c(nccn1)C,1,-1.266790974,0,1.249599872,0 
[C@H]1(CC(=O)O1)C,5,1.238212397,0,-1.210860905,0 
c1cccc(n1)NN,3,-0.319663972,0,0.380985171,0 
c1(noc(n1)N)C,0,-1.514111972,0,1.483797853,0 
c1ccc(cc1)Cl,2,-0.75809665,0,0.779545544,0 
C(=O)(C#N)OCC,2,-0.460889883,0,0.429814805,0 
c1c(cccc1)N(C)C,4,-0.481617069,0,0.558430219,0 
[C@H]1([C@H]([C@H]2CCCN2[C@@H]1CO)O)O,2,0.3638062,0,-0.309447431,0 
C=CC(C)(C)C,0,-0.387290807,0,0.418390513,0 
c1ccc(cn1)Br,3,-0.862259541,0,0.637478948,0 
C1OCCC1,3,1.142305249,0,-1.110990483,0 
