SMILES,ID,QM,REV1,NMR,REV2
C(C(C(F)(F)F)(C(F)(F)F)F)(F)(F)F,3,383.69,0,-190,0
c1(c(c(c(c(c1F)F)F)F)F)F,7,355.61,0,-163.9,0
[Si](F)(F)(F)F,2,337.2,0,-163.3,0
B(F)(F)F.C(OCC)C,2,344.88,0,-153,0
C(#N)F,2,347.41,0,-156,0
C(=O)(OCC)[C@@H]([C@](c1ccccc1)(O)C)F,15,394.58,0,-192.5,0
[Si](F)(F)(CC)CC,2,340.01,0,-143,0
FCF,0,336.7,0,-143.6,0
[C@@H](C(F)(F)Br)(F)Cl,5,343.27,0,-145.9,0
C(=C\C)/F,3,308.68,0,-129.6,0
C(=O)(OCC)[C@H]([C@](c1ccccc1)(O)C)F,15,394.3,0,-195.1,0
F[Si](F)(F)[Si](F)(F)F,0,301.27,0,-126,0
B(F)(F)F,2,311.78,0,-127,0
C(C(C(C(F)(F)F)(F)F)(F)F)(F)(F)F,5,324.98,0,-128,0
C1(C(F)(F)O1)(F)F,2,308.31,0,-111,0
c1c(c(ccc1)F)C,6,302.15,0,-110,0
c1cc(ccc1)F,6,299.35,0,-113.5,0
C(=C)F,2,289.23,0,-114,0
P(F)(F)C,1,286.78,0,-92.9,0
B(F)(F)c1ccccc1,2,281.61,0,-92,0
C(=O)(C(F)(F)F)C(F)(F)F,5,276.41,0,-84.6,0
C(C(C(C(F)(F)F)(F)F)(F)F)(F)(F)F,5,275.1,0,-82,0
C(=C)(F)F,2,266.7,0,-81.3,0
FC(F)(F)C(=O)O,0,271.81,0,-76.5,0
FC(F)(F)C(C(F)(F)F)(C(F)(F)F)F,0,269.48,0,-74.6,0
P(=O)(OCC)(OCC)C(F)(F)F,10,267.19,0,-73.3,0
C(=C)CB(F)F,5,260.81,0,-73.4,0
P(Cl)(Cl)C(F)(F)F,5,263.37,0,-72.1,0
B(C)(F)F,2,255.83,0,-68.8,0
C(C(Cl)(Cl)F)(Cl)(Cl)F,7,256.69,0,-68,0
C(F)(F)(F)F,1,260.58,0,-62.3,0
C(F)(F)(F)C,1,267.94,0,-61.7,0
C(F)(F)(F)C#CC(F)(F)F,1,252.12,0,-57,0
C(F)(F)(F)O,1,254.67,0,-54.5,0
FC(F)(F)P(C(F)(F)F)C(F)(F)F,0,244.21,0,-50.8,0
C(F)(F)(F)SSC(F)(F)F,1,237.21,0,-46.9,0
C(F)(F)(F)SC(F)(F)F,1,228.67,0,-38.6,0
P(F)(F)F,1,207.81,0,-35.1,0
FC(F)(F)Cl,0,222.25,0,-28.1,0
FC(F)(Cl)Cl,0,195.61,0,-6.8,0
B(F)(Br)Br,1,170.56,0,-1,0
N(C(F)(F)F)(F)F,2,181.28,0,18.5,0
C(=O)(C=C)F,4,154.39,0,23.9,0
C(=O)(F)N(F)F,2,167.1,0,33.1,0
[N](F)N([O])C(F)(F)F,1,146.57,0,42,0
